CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
820531002,7/12/2019,3:10:00,7/12/2019,4:00:00,19,7/12/2019,348,VEHICLE AND TRAFFIC LAWS,916,LEAVING SCENE-ACCIDENT-PERSONA,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,993569,217891,40.7647402,-73.96636025
589848708,7/11/2019,16:20:00,,,43,7/11/2019,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1018367,240337,40.82628742,-73.87672655
137490633,7/11/2019,14:10:00,,,63,7/11/2019,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,,,1005781,162986,40.61401737,-73.92245091
946215494,7/11/2019,13:47:00,,,62,7/11/2019,351,CRIMINAL MISCHIEF & RELATED OF,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",COMPLETED,MISDEMEANOR,BROOKLYN,,OTHER,N.Y. POLICE DEPT,,,982411,160385,40.60690413,-74.00662446
562695730,7/11/2019,12:50:00,7/11/2019,13:00:00,52,7/11/2019,109,GRAND LARCENY,419,"LARCENY,GRAND FROM PERSON,UNCL",COMPLETED,FELONY,BRONX,INSIDE,LIQUOR STORE,N.Y. POLICE DEPT,,,1017197,260806,40.88247312,-73.8808535
513268763,7/11/2019,6:00:00,,,47,7/11/2019,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,,,1023395,257066,40.87218268,-73.85846124
948150172,7/10/2019,8:45:00,,,88,7/10/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,,,989123,192604,40.69533713,-73.98242843
333471668,7/9/2019,22:05:00,,,23,7/9/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,999569,227672,40.79157811,-73.9446782
643578632,7/9/2019,20:52:00,,,84,7/9/2019,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,986977,190564,40.68973873,-73.99016816
348545447,7/9/2019,20:30:00,7/9/2019,20:45:00,70,7/9/2019,113,FORGERY,723,"FORGERY,DRIVERS LICENSE",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,993625,177253,40.65319846,-73.96621467
429184802,7/9/2019,15:34:00,,,52,7/9/2019,348,VEHICLE AND TRAFFIC LAWS,918,RECKLESS DRIVING,COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1017478,256069,40.86947048,-73.8798608
447699348,7/9/2019,8:45:00,7/9/2019,20:15:00,110,7/9/2019,107,BURGLARY,221,"BURGLARY,RESIDENCE,DAY",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,,,1015307,210923,40.74556519,-73.88791921
764616741,7/8/2019,17:30:00,7/9/2019,12:00:00,62,7/9/2019,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,BROOKLYN,INSIDE,CONSTRUCTION SITE,N.Y. POLICE DEPT,,,983503,158624,40.6020707,-74.00269151
130398506,7/8/2019,12:00:00,7/9/2019,15:00:00,123,7/9/2019,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,OTHER,N.Y. POLICE DEPT,,,914928,125757,40.51158634,-74.24930373
237014041,7/1/2019,19:00:00,7/1/2019,19:05:00,75,7/9/2019,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,1020883,186528,40.67858545,-73.86792864
936678712,5/17/2019,3:10:00,5/19/2019,21:01:00,43,7/9/2019,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,,,1020219,239110,40.82291231,-73.8700413
943565559,7/8/2019,17:40:00,,,71,7/8/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,,,1002948,182618,40.66790943,-73.93260043
747813457,7/8/2019,14:27:00,7/8/2019,14:35:00,47,7/8/2019,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1028629,260885,40.88263987,-73.83951092
265630832,7/7/2019,14:51:00,7/7/2019,15:00:00,49,7/7/2019,114,ARSON,263,"ARSON 2,3,4",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,OTHER,,,1022055,246883,40.84423927,-73.86336383
189492814,7/6/2019,2:00:00,7/6/2019,2:07:00,40,7/6/2019,116,SEX CRIMES,177,SEXUAL ABUSE,COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1004926,234532,40.81039602,-73.92531074
949686710,7/5/2019,22:55:00,,,48,7/6/2019,117,DANGEROUS DRUGS,521,"CONTROLLED SUBSTANCE, SALE 5",ATTEMPTED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1014373,247302,40.84541884,-73.89112677
740114295,7/3/2019,17:00:00,7/5/2019,17:30:00,26,7/6/2019,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,N.Y. POLICE DEPT,,,996958,236703,40.81636986,-73.95409051
713410621,7/5/2019,10:48:00,,,46,7/5/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,INSIDE,,N.Y. POLICE DEPT,,,1005992,249443,40.85131987,-73.92141157
410035332,7/3/2019,19:30:00,7/3/2019,20:00:00,44,7/5/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BRONX,,STREET,N.Y. POLICE DEPT,,,1007027,245405,40.84023414,-73.91768411
696427870,7/4/2019,10:45:00,,,60,7/4/2019,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,BROOKLYN,,STREET,N.Y. POLICE DEPT,,,985829,148974,40.57558326,-73.99431746
511804162,7/3/2019,18:40:00,7/3/2019,18:47:00,47,7/3/2019,105,ROBBERY,366,"ROBBERY,BICYCLE",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,,,1020357,259231,40.87813788,-73.86943434
729775671,7/3/2019,3:45:00,,,75,7/3/2019,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,,,1020925,186302,40.67796496,-73.86777844
679604529,7/2/2019,23:59:00,8/2/2019,3:45:00,114,7/2/2019,118,DANGEROUS WEAPONS,792,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,QUEENS,INSIDE,STREET,N.Y. POLICE DEPT,,,1007694,219657,40.76956124,-73.91536345
